Date,Value
2017-04-30,390.0
2017-05-01,289.56
2017-05-02,215.21
2017-05-03,245.15
2017-05-04,498.58
2017-05-05,332.41
2017-05-06,374.75
2017-05-07,230.71
2017-05-08,391.64
2017-05-09,217.35
2017-05-10,305.87
2017-05-11,328.47
2017-05-12,258.07
2017-05-13,153.5
2017-05-14,438.05
2017-05-15,228.6
2017-05-16,280.05
2017-05-17,234.87
2017-05-18,103.13
2017-05-19,396.07
2017-05-20,452.42
2017-05-21,260.55
2017-05-22,328.36
2017-05-23,412.7
2017-05-24,301.79
2017-05-25,465.44
2017-05-26,425.69
2017-05-27,284.78
2017-05-28,149.34
2017-05-29,221.06
2017-05-30,475.53
2017-05-31,290.88
2017-06-01,375.9
2017-06-02,128.83
2017-06-03,173.11
2017-06-04,237.66
2017-06-05,191.09
2017-06-06,131.12
2017-06-07,417.61
2017-06-08,185.14
2017-06-09,312.13
2017-06-10,195.52
2017-06-11,434.69
2017-06-12,349.94
2017-06-13,245.76
2017-06-14,441.86
2017-06-15,203.88
2017-06-16,140.04
2017-06-17,135.47
2017-06-18,160.85
2017-06-19,450.5
2017-06-20,439.4
2017-06-21,498.07
2017-06-22,364.26
2017-06-23,223.29
2017-06-24,327.38
2017-06-25,363.3
2017-06-26,238.03
2017-06-27,275.78
2017-06-28,196.38
2017-06-29,250.73
2017-06-30,426.43
2017-07-01,165.48
2017-07-02,263.59
2017-07-03,335.55
2017-07-04,479.11
2017-07-05,181.18
2017-07-06,179.16
2017-07-07,158.88
2017-07-08,193.77
2017-07-09,148.47
2017-07-10,182.53
2017-07-11,365.33
2017-07-12,428.07
2017-07-13,487.55
2017-07-14,417.65
2017-07-15,456.26
2017-07-16,206.46
2017-07-17,149.05
2017-07-18,401.04
2017-07-19,304.79
2017-07-20,104.48
2017-07-21,489.07
2017-07-22,364.04
2017-07-23,145.6
2017-07-24,429.3
2017-07-25,156.95
2017-07-26,251.12
2017-07-27,173.49
2017-07-28,207.63
2017-07-29,260.88
2017-07-30,156.76
2017-07-31,204.0
2017-08-01,386.05
2017-08-02,189.5
2017-08-03,462.68
2017-08-04,420.32
2017-08-05,308.47
2017-08-06,316.81
2017-08-07,328.82
2017-08-08,260.49
2017-08-09,100.17
2017-08-10,350.87
2017-08-11,444.08
2017-08-12,187.41
2017-08-13,334.7
2017-08-14,422.91
2017-08-15,423.33
2017-08-16,105.05
2017-08-17,110.84
2017-08-18,406.58
2017-08-19,205.89
2017-08-20,369.99
2017-08-21,320.74
2017-08-22,489.1
2017-08-23,204.86
2017-08-24,212.95
2017-08-25,151.34
2017-08-26,356.66
2017-08-27,397.49
2017-08-28,279.87
2017-08-29,410.78
2017-08-30,343.67
2017-08-31,494.57
2017-09-01,411.32
2017-09-02,493.3
2017-09-03,406.79
2017-09-04,320.56
2017-09-05,347.89
2017-09-06,289.06
2017-09-07,442.85
2017-09-08,315.57
2017-09-09,386.85
2017-09-10,248.69
2017-09-11,121.93
2017-09-12,353.07
2017-09-13,402.0
2017-09-14,105.89
2017-09-15,140.94
2017-09-16,119.71
2017-09-17,254.41
2017-09-18,133.66
